transaction_count,unique_ips,unique_devices,decline_rate,current_amount,average_amount,amount_ratio,hour_of_day,day_of_week,is_attack
8,1,1,0.0596850157946487,47.354111521091156,43.56554503157352,1.0869624490356296,10,5,0
8,1,1,0.0020584494295802446,97.14143595538945,103.6002270554204,0.9376565931986244,5,2,0
5,1,1,0.030424224295953775,54.851861005062595,54.10527252943364,1.0137988118481946,16,3,0
3,2,1,0.05142344384136116,61.27938404189403,55.72073617369927,1.0997590529110506,18,7,0
7,2,1,0.09488855372533334,96.73504314208314,102.70160929707313,0.941903868928371,8,2,0
4,2,1,0.04401524937396013,16.593632310253987,16.57762579421141,1.0009655493640208,14,3,0
213,2,1,0.9493783426530973,2.246844304357644,2.800170052944527,0.802395662361637,9,4,1
2,2,1,0.04497541333697657,42.539272420172374,46.16922396466917,0.9213772458624254,15,7,0
7,2,1,0.004522728891053806,35.90638142251011,35.1069422830307,1.0227715399716206,17,7,0
316,331,237,0.027134804157912425,45.36636049545727,164.39545653572713,0.27595872447726716,0,1,0
137,1,1,0.8798073522301258,1.0220884684944096,3.5386535711370852,0.28883541379439953,16,3,1
478,340,283,0.017923286427213633,40.85643071452335,175.35861665760683,0.23298787076027638,7,4,0
7,1,1,0.06688412526636073,68.26262387866218,69.50906918731148,0.9820678751244617,21,3,0
3,1,1,0.09717120953891038,85.64681330527797,89.4448986859733,0.9575371492785766,22,7,0
9,1,1,0.042754101835854964,7.414817040689043,6.833334374902981,1.0850950112907825,6,1,0
4,2,1,0.013933145440587569,62.41965103139264,62.9170244345447,0.9920947723192234,3,5,0
3,2,1,0.08804678390152577,64.31363457271036,61.68492648310936,1.0426150802063578,20,6,0
4,2,1,0.08832802589188683,35.812776995501025,33.105961035057334,1.081762192542223,6,6,0
9,1,1,0.042710778862625635,82.71140276263685,88.67870927474011,0.9327086900462699,6,6,0
9,2,1,0.022210781047073025,16.387209896699865,15.85500304265019,1.0335671240565538,14,3,0
8,1,1,0.040383617105804084,11.164763475353247,10.615268235682597,1.0517646118280417,11,6,0
3,1,1,0.01480869299533999,99.78534607964947,95.13097863907238,1.0489258862587316,1,2,0
7,1,1,0.0345071248026683,65.26337774662956,67.62206737576837,0.9651195279784656,20,4,0
6,2,1,0.05926967238793936,12.681066001607949,12.350481912467785,1.0267668979626163,16,7,0
424,177,247,0.019941222122227653,166.9577371794891,163.7021224972192,1.0198874311011161,8,4,0
3,2,1,0.03259589052018848,25.92289951872709,27.01762114129048,0.9594811987021925,18,4,0
4,1,1,0.0690937738102466,41.73985789855105,45.38566743253247,0.9196704655847343,0,3,0
9,2,1,0.09246936182785628,88.3472385711932,84.07020081831244,1.050874598980964,15,2,0
293,2,1,0.8891243762245613,4.985014799031697,3.913548378221984,1.2737838700991109,4,5,1
296,1,1,0.8918307028888273,3.801431319891085,3.6166528555957647,1.05109101472358,19,6,1
215,154,162,0.008081435704730688,181.73975393487427,129.15723073872618,1.4071202432523344,2,6,0
202,1,1,0.8925881462106199,2.221455441377574,2.7140343839655667,0.8185067420301915,2,5,1
1,2,1,0.02372490874968001,35.912971325130435,37.68341907790938,0.9530178578244561,7,7,0
227,112,225,0.004683738391404624,86.18884455069804,67.73642618271057,1.2724149974817738,13,6,0
158,1,1,0.983806983276567,3.5245545039890516,3.487028258854121,1.0107616693497237,0,4,1
1,1,1,0.02301852682415553,52.42337108905147,53.17831166007407,0.9858036002374742,16,1,0
207,1,1,0.8919340512695138,4.533976089065035,3.369296934743535,1.3456742391302932,4,5,1
5,1,1,0.09636199770892528,86.03589826939921,82.49894342718653,1.0428727289742128,20,7,0
3,2,1,0.03726868670940493,42.49568934689986,45.42120428638507,0.9355914272761339,2,6,0
6,1,1,0.014008401523652403,54.24131697455499,58.33515945697614,0.9298220400778971,16,1,0
6,2,1,0.05528199769079078,33.16846364654086,32.6363144971972,1.0163054302405794,17,1,0
7,1,1,0.06278944149486361,23.456025583644013,21.443221418095106,1.0938666875794314,13,6,0
264,1,1,0.9063374428959916,1.375927759363476,2.945700352490435,0.4670969870374634,21,3,1
6,2,1,0.08604046183116754,28.773879249007084,26.119976515934272,1.1016043307486827,14,6,0
5,1,1,0.08278690037875887,30.79657700287548,33.66220976694711,0.9148709254706924,6,4,0
471,126,148,0.03187149507491033,150.6964400700791,195.65337430325624,0.7702215236855798,9,6,0
8,1,1,0.043352073758074205,75.68405108491596,71.9128741698031,1.0524409149077845,20,6,0
492,208,107,0.04576068638132402,99.6234013515988,63.16172464833258,1.577274875033495,21,1,0
5,1,1,0.09548652806631941,75.10020708609801,75.91660720601297,0.9892460931809095,21,5,0
3,1,1,0.012016464780564218,37.47856833805815,34.41881101654413,1.0888978216023582,14,1,0
4,1,1,0.04741738290873252,14.294245261845141,14.270276314367955,1.001679641441354,6,4,0
5,1,1,0.004805892419703373,95.16884450118167,102.5288296312666,0.9282154574810393,19,7,0
3,2,1,0.050103988391525925,56.24085759800594,58.31011362958859,0.9645129137506492,15,7,0
269,2,1,0.9454605396169017,4.203797178729599,3.1929208559574542,1.3165992420031394,2,4,1
3,1,1,0.09414648087765252,41.67975059107356,45.52421212610103,0.9155512779797617,9,3,0
2,1,1,0.00944429607559284,69.8856434745539,63.8920920282439,1.0938074064574457,7,5,0
189,194,154,0.02480187271467031,144.7202645645491,82.70058880157552,1.749930280566419,10,5,0
9,1,1,0.09675805515202475,57.057328908568294,56.1840201854106,1.015543720799539,23,3,0
289,2,1,0.9058027128689174,4.105651842967987,2.3520088506325445,1.7455937046596661,4,4,1
7,1,1,0.023823615240397944,40.88424418674801,41.16493474877555,0.9931813189127942,19,1,0
3,1,1,0.005348529674736891,96.06144220390384,102.73085641850783,0.9350787636050268,8,7,0
272,2,1,0.9223781424463964,2.97210263108722,1.708211027988149,1.7398919585407566,4,3,1
4,1,1,0.021272789502422895,94.88848157376057,100.22683259414224,0.946737306944551,6,5,0
235,1,1,0.9993896863045494,1.2234846187094002,3.342588891977522,0.36602904462641517,10,3,1
